ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR10001","2020-12-31","N","USTR",1,,,"N",,,0,1.2,13.51,,0,0,0,0,0,0,,,,,,,,,,,,,"13.505907955556506","2021-01-01",,,,,,,
"USTR10001","2020-12-31","N","USTR",2,,,"Y",,,-0.11,1.23,12.89,,0,0,0,0,0,0,,,,,,,,,,,,,"12.885373679547008","2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",1,,,"N",,,-0.05,1.14,11.77,,0,0,0,0,0,0,,,,,,,,,,,,,"11.76533269716391","2021-01-01",,,,,,,
"USTR10002","2020-12-31","N","USTR",2,,,"Y",,,-0.1,1,11.85,,0,0,0,0,0,0,,,,,,,,,,,,,"11.848005518384074","2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",1,,,"N",,,-0.01,1.38,14.51,,0,0,0,0,0,0,,,,,,,,,,,,,"14.511354733929927","2021-01-01",,,,,,,
"USTR10004","2020-12-31","N","USTR",2,,,"Y",,,-0.17,1.23,13.82,,0,0,0,0,0,0,,,,,,,,,,,,,"13.822864435170047","2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",1,,,"N",,,-0.01,1.29,11.99,,0,0,0,0,0,0,,,,,,,,,,,,,"11.987180301862965","2021-01-01",,,,,,,
"USTR10006","2020-12-31","N","USTR",2,,,"Y",,,0,1.27,11.46,,0,0,0,0,0,0,,,,,,,,,,,,,"11.45793732553184","2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",1,,,"N",,,1.47,5.87,1.71,,0,0,0,0,0,0,,,,,,,,,,,,,"1.7136247048697317","2021-01-01",,,,,,,
"USTR100960","2020-12-31","N","USTR",2,,,"Y",,,1.88,6.45,7.11,,0,0,0,0,0,0,,,,,,,,,,,,,"7.11374687","2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",1,,,"N",,,0,0,0,,0,0,0,0,0,0,,,,,,,,,,,,,"0","2021-01-01",,,,,,,
"USTR1025","2020-12-31","N","USTR",2,,,"Y",,,0.05,0.05,3.16,,0,0,0,0,0,0,,,,,,,,,,,,,"3.15971168","2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",1,,,"N",,,0.16,1.49,9.73,,0,0,0,0,0,0,,,,,,,,,,,,,"9.73248603826693","2021-01-01",,,,,,,
"USTR1055","2020-12-31","N","USTR",2,,,"Y",,,0.05,1.07,9.65,,0,0,0,0,0,0,,,,,,,,,,,,,"9.651441937057914","2021-01-01",,,,,,,
"USTR107449","2020-12-31","N","USTR",1,,,"N",,,0.5,0.97,5.83,,0,0,0,0,0,0,,,,,,,,,,,,,"5.833519842484325","2021-01-01",,,,,,,
"USTR107449","2020-12-31","N","USTR",2,,,"Y",,,0.21,0.48,6.43,,0,0,0,0,0,0,,,,,,,,,,,,,"6.43404147","2021-01-01",,,,,,,
"USTR109195","2020-12-31","N","USTR",1,,,"N",,,-1.14,-2.96,17.89,,0,0,0,0,0,0,,,,,,,,,,,,,"17.886075766487043","2021-01-01",,,,,,,
"USTR109195","2020-12-31","N","USTR",2,,,"Y",,,-1.18,-3,17.7,,0,0,0,0,0,0,,,,,,,,,,,,,"17.70291533","2021-01-01",,,,,,,
"USTR109433","2020-12-31","N","USTR",1,,,"N",,,1.57,6.06,2.73,,0,0,0,0,0,0,,,,,,,,,,,,,"2.732532947217292","2021-01-01",,,,,,,
"USTR109433","2020-12-31","N","USTR",2,,,"Y",,,1.88,6.45,7.11,,0,0,0,0,0,0,,,,,,,,,,,,,"7.11374687","2021-01-01",,,,,,,
"USTR109553","2020-12-31","N","USTR",1,,,"N",,,-1.07,-2.83,17.52,,0,0,0,0,0,0,,,,,,,,,,,,,"17.516133141350608","2021-01-01",,,,,,,
"USTR109553","2020-12-31","N","USTR",2,,,"Y",,,-1.16,-2.95,17.55,,0,0,0,0,0,0,,,,,,,,,,,,,"17.55212684","2021-01-01",,,,,,,
"USTR109670","2020-12-31","N","USTR",1,,,"N",,,0.41,0.92,8.56,,0,0,0,0,0,0,,,,,,,,,,,,,"8.563836314334484","2021-01-01",,,,,,,
"USTR109670","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",1,,,"N",,,0.44,1.01,8.03,,0,0,0,0,0,0,,,,,,,,,,,,,"8.026469180406192","2021-01-01",,,,,,,
"USTR11000","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",1,,,"N",,,0.38,0.96,8.38,,0,0,0,0,0,0,,,,,,,,,,,,,"8.381051124582228","2021-01-01",,,,,,,
"USTR111505","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",1,,,"N",,,-0.14,0.69,17.79,,0,0,0,0,0,0,,,,,,,,,,,,,"17.793448593464632","2021-01-01",,,,,,,
"USTR111970","2020-12-31","N","USTR",2,,,"Y",,,-0.29,0.62,15.96,,0,0,0,0,0,0,,,,,,,,,,,,,"15.956659819042397","2021-01-01",,,,,,,
"USTR113705","2020-12-31","N","USTR",1,,,"N",,,-0.28,0.57,16.25,,0,0,0,0,0,0,,,,,,,,,,,,,"16.248220813486224","2021-01-01",,,,,,,
"USTR113705","2020-12-31","N","USTR",2,,,"Y",,,-0.28,0.92,15.68,,0,0,0,0,0,0,,,,,,,,,,,,,"15.684033043131018","2021-01-01",,,,,,,
"USTR114638","2020-12-31","N","USTR",1,,,"N",,,0.08,0.59,7.65,,0,0,0,0,0,0,,,,,,,,,,,,,"7.645730018071029","2021-01-01",,,,,,,
"USTR114638","2020-12-31","N","USTR",2,,,"Y",,,0.08,0.59,7.65,,0,0,0,0,0,0,,,,,,,,,,,,,"7.645730018071029","2021-01-01",,,,,,,
"USTR117075","2020-12-31","N","USTR",1,,,"N",,,0.42,1.06,8.56,,0,0,0,0,0,0,,,,,,,,,,,,,"8.558449648121647","2021-01-01",,,,,,,
"USTR117075","2020-12-31","N","USTR",2,,,"Y",,,0.14,0.67,7.51,,0,0,0,0,0,0,,,,,,,,,,,,,"7.5066327","2021-01-01",,,,,,,
