ProductID,PeriodDate,AdhocFlag,LineofBusinessCode,SortOrder,EquityFlag,TaxType,BenchmarkFlag,PerformanceType,Description,MTD,QTD,YTD,PriorYear,PriorTwoYear,PriorThreeYear,PriorFourYear,PriorFiveYear,PriorSevenYear,PriorTenYear,CYPriorYear,CYPriorTwoYear,CYPriorThreeYear,CYPriorFourYear,CYPriorFiveYear,CYPriorSixYear,CYPriorSevenYear,CYPriorEightYear,CYPriorNineYear,CYPriorTenYear,CYPriorElevenYear,CYPriorTwelveYear,SinceInceptionReturn,InceptionDate,ValueAdded,Risk,TrackingError,InfoRatio,PriorThreeMonth,PriorSixMonth,PriorNineMonth
"USTR10001","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-3.02,-8.08,-8.08,-3.53,-1.41,3.70,4.10,3.98,0.00,0.00,,,,,,,,,,,,,3.69,"2015-05-31",,,,,,,
"USTR10001","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.89,-8.06,-8.06,-3.51,-1.63,3.50,3.87,3.77,0.00,0.00,,,,,,,,,,,,,3.52,"2015-05-31",,,,,,,
"USTR10002","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.87,-8.02,-8.02,-3.41,-1.62,2.86,3.49,3.35,0.00,0.00,,,,,,,,,,,,,3.53,"2015-06-30",,,,,,,
"USTR10002","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.87,-7.82,-7.82,-3.34,-1.56,2.98,3.47,3.33,0.00,0.00,,,,,,,,,,,,,3.60,"2015-06-30",,,,,,,
"USTR10004","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-3.12,-8.64,-8.64,-3.42,-1.51,3.77,4.19,4.04,0.00,0.00,,,,,,,,,,,,,3.26,"2016-04-30",,,,,,,
"USTR10004","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-3.10,-8.72,-8.72,-3.47,-2.18,3.44,3.84,3.76,0.00,0.00,,,,,,,,,,,,,2.97,"2016-04-30",,,,,,,
"USTR10006","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-1.99,-5.68,-5.68,-2.24,0.19,3.81,4.19,3.85,0.00,0.00,,,,,,,,,,,,,3.31,"2016-03-31",,,,,,,
"USTR10006","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.57,-7.07,-7.07,-3.59,-0.76,3.10,3.53,3.36,0.00,0.00,,,,,,,,,,,,,2.78,"2016-03-31",,,,,,,
"USTR100960","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.01,-0.64,-0.64,3.19,13.19,4.19,3.99,0.00,0.00,0.00,,,,,,,,,,,,,3.43,"2018-01-31",,,,,,,
"USTR100960","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-1.15,-4.84,-4.84,-0.66,10.86,4.58,4.92,0.00,0.00,0.00,,,,,,,,,,,,,4.35,"2018-01-31",,,,,,,
"USTR1025","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.18,0.31,,,,,,,,,,,,,0.31,"2006-12-31",,,,,,,
"USTR1025","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-1.41,-2.51,-2.51,-3.05,-1.37,0.84,1.31,1.04,0.91,0.85,,,,,,,,,,,,,0.85,"2006-12-31",,,,,,,
"USTR1055","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.19,-6.06,-6.06,-3.32,0.33,2.85,3.45,3.18,2.71,2.84,,,,,,,,,,,,,4.24,"2006-12-31",,,,,,,
"USTR1055","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.21,-5.86,-5.86,-3.29,-0.27,2.73,3.20,2.97,2.56,2.75,,,,,,,,,,,,,2.97,"2006-12-31",,,,,,,
"USTR107449","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.39,-4.52,-4.52,-3.59,0.20,1.71,2.39,2.16,0.00,0.00,,,,,,,,,,,,,1.80,"2016-06-30",,,,,,,
"USTR107449","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.45,-4.51,-4.51,-4.10,-1.09,1.50,2.18,1.81,0.00,0.00,,,,,,,,,,,,,1.37,"2016-06-30",,,,,,,
"USTR109433","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-0.10,-0.51,-0.51,2.64,12.14,4.57,4.38,0.00,0.00,0.00,,,,,,,,,,,,,4.38,"2018-03-31",,,,,,,
"USTR109433","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-1.15,-4.84,-4.84,-0.66,10.86,4.58,4.92,0.00,0.00,0.00,,,,,,,,,,,,,4.92,"2018-03-31",,,,,,,
"USTR109553","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-5.30,-10.61,-10.61,-1.59,-8.85,3.15,0.00,0.00,0.00,0.00,,,,,,,,,,,,,6.30,"2018-10-31",,,,,,,
"USTR109553","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-5.34,-10.57,-10.57,-1.46,-8.80,3.23,0.00,0.00,0.00,0.00,,,,,,,,,,,,,6.40,"2018-10-31",,,,,,,
"USTR109670","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.71,-5.85,-5.85,-3.49,-0.22,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,0.66,"2019-10-31",,,,,,,
"USTR109670","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,-4.15,-1.75,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-0.23,"2019-10-31",,,,,,,
"USTR11000","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.59,-5.71,-5.71,-3.04,0.46,2.63,3.14,2.90,0.00,0.00,,,,,,,,,,,,,2.61,"2015-05-31",,,,,,,
"USTR11000","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,-4.15,-1.75,1.69,2.38,2.14,0.00,0.00,,,,,,,,,,,,,1.90,"2015-05-31",,,,,,,
"USTR111505","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.79,-5.89,-5.89,-3.45,0.01,2.53,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3.07,"2019-03-01",,,,,,,
"USTR111505","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,-4.15,-1.75,1.69,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2.27,"2019-03-01",,,,,,,
"USTR111970","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-3.76,-9.64,-9.64,-3.27,-3.21,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3.30,"2019-05-31",,,,,,,
"USTR111970","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-3.49,-9.43,-9.43,-2.96,-3.37,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2.96,"2019-05-31",,,,,,,
"USTR113705","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-3.63,-9.39,-9.39,-3.37,-3.39,3.93,4.36,0.00,0.00,0.00,,,,,,,,,,,,,3.20,"2017-12-31",,,,,,,
"USTR113705","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-3.37,-9.32,-9.32,-3.26,-3.03,3.90,4.20,0.00,0.00,0.00,,,,,,,,,,,,,3.07,"2017-12-31",,,,,,,
"USTR117075","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.65,-5.80,-5.80,-3.18,0.63,2.73,3.21,0.00,0.00,0.00,,,,,,,,,,,,,2.73,"2017-07-31",,,,,,,
"USTR117075","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,-4.15,-1.75,1.69,2.38,0.00,0.00,0.00,,,,,,,,,,,,,1.89,"2017-07-31",,,,,,,
"USTR117383","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.79,-5.83,-5.83,-3.45,0.07,2.51,0.00,0.00,0.00,0.00,,,,,,,,,,,,,3.04,"2019-03-01",,,,,,,
"USTR117383","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,-4.15,-1.75,1.69,0.00,0.00,0.00,0.00,,,,,,,,,,,,,2.27,"2019-03-01",,,,,,,
"USTR117740","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-2.50,-5.45,-5.45,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-3.77,"2021-04-30",,,,,,,
"USTR117740","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-2.78,-5.93,-5.93,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-5.34,"2021-04-30",,,,,,,
"USTR117889","2022-03-31","N","USTR",1,,,"N","Gross Total Return","Total Return",-3.32,-8.18,-8.18,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-24.20,"2021-11-22",,,,,,,
"USTR117889","2022-03-31","N","USTR",2,,,"Y","Gross Total Return","Total Return",-3.14,-8.46,-8.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,,,,,,,,,,,,-24.70,"2021-11-22",,,,,,,
